Cattext_name                ;Dialogfenster                                    ;Parameter                                                     ;Oberbegriff                                                   ;Bezeichnung                                                                                  ;Vorlage_txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Text_pfad
Surveillance des signes vitaux ; Surveillance MDD_Temp2 ; Surveillance supplémentaire de la température 2 ; Surveillance supplémentaire de la température 2 ; ;
Valeurs vitales; Hémodynamique PICCO; MDD_SVV; SVV; SVV [%] Variation du Volume d'Éjection Systolique; ;
Valeurs vitales ;Hémodynamique PICCO ;MDD_SVRI ;SVRI ( 1700-2400 ) ;SVRI ; ;
Valeurs vitales; Hémodynamique PICCO; MDD_EVLWI; EVLWI (3-7); EVLWI [ml/kg] Index d'eau pulmonaire extravasculaire;;
Vitalité ;Hémodynamique PICCO ;MDD_ITBVI ;ITBVI (850-1000) ;ITBVI [ml/m2] indice de volume sanguin intrathoracique ; ;
Valeurs vitales ;Hémodynamique PICCO ;MDD_GEDVI ;GEDVI (680-800) ;GEDVI [ml/m2] Index du volume enddiastolique global ;;
Valeurs vitales ;Hémodynamique PICCO ;MDD_HI ;HI ( 3-5 ) ;HI ; ;
Paramètres vitaux ; Hémodynamique PICCO ; MDD_KOF ; KOF ; KOF ; ;
Valeurs vitales ; Tension artérielle / Fréquence cardiaque ; MDD_ICP ; ICP (Pression intracrânienne) ; ICP (Pression intracrânienne) ; ;
Valeurs vitales ;NIRS ;rSO2 frontal re. ;NIRS ;rSO2 frontal re. ; ;
Valeurs vitales ;NIRS ;rSO2 frontal gauche. ;NIRS ;rSO2 frontal gauche. ; ;
Valeurs vitales ;NIRS ;Mirus (MAC) ;NIRS ;Mirus (MAC) ; ;
Valeurs vitales ;Test1_alt ;TestPara1 ;Test1_alt ;TestPara1 ; ;
Signes vitaux ; Pression artérielle / Fréquence cardiaque_âge ; Pression intra-abdominale ; Pression intra-abdominale_vieille ; Pression intra-abdominale ; ;
Valeurs vitales ;Commentaire ;Commentaire_3 ;Commentaire ;Commentaire ; ;
Valeurs vitales ;Hémodynamique PICCO_alt ;MDD_CFI ;CFI_alt ;CFI [1/min] ; ;
Valeurs vitales ;Narkotrend ;Stade /Index ;Narkotrend ;Stade /Index ; ;
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;A ;A
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;B0 ;B0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;B1 ;B1
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;B2 ;B2
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;C0 ;C0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;C1 ;C1
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;C2 ;C2
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade / Index ;Stade / Index ;D0 ;D0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;D1 ;D1
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;D2 ;D2
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;E0 ;E0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;E1 ;E1
Valeurs vitales ; Narkotrend ; Narkotrend ; Stade / Index ; Stade / Index ; E2 ; E2
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade / Index ;Stade / Index ;F0 ;F0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;F1 ;F1
Valeurs vitales ; Narkotrend ; Narkotrend ; Stade / Indice ; Stade / Indice ; Commentaire ; Commentaire
Valeurs vitales ;Narkotrend ;Type d'EEG ;Narkotrend ;Type d'EEG ; ;
Valeurs vitales ; Narkotrend ; Narkotrend ; Type d'EEG ; Type d'EEG ; 1-Canal ; 1-Canal
Valeurs vitales ;Narkotrend ;Narkotrend ;Type d'EEG ;Type d'EEG ;2-canal ;2-canal
Valeurs vitales ; Narkotrend ; STI (ETP) ; Narkotrend ; STI (ETP) ; ;
Valeurs vitales ;Narkotrend_alt ;A_1 ;Narkotrend_alt ;A ; ;
Signes vitaux ;Narkotrend_alt ;Commentaire ;Narkotrend_alt ;Commentaire ; ;
Valeurs vitales ;Narkotrend_alt ;Stade / Index ;Narkotrend_alt ;Stade / Index ; ;
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;A ;A
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Indice ;Stade / Indice ;B0 ;B0
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;B1 ;B1
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Indice ;Stade / Indice ;B2 ;B2
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;C0 ;C0
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;C1 ;C1
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;C2 ;C2
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;D0 ;D0
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;D1 ;D1
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;D2 ;D2
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;E0 ;E0
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Indice ;Stade / Indice ;E1 ;E1
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;E2 ;E2
Valeurs vitales ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;F0 ;F0
Vitalwerte ;Narkotrend_alt ;Narkotrend_alt ;Stade / Index ;Stade / Index ;F1 ;F1
Valeurs vitales ;Narkotrend_alt ; Taux de flux ILA ;Narkotrend_alt ; Taux de flux ILA ; ;
Valeurs vitales ;ILA Novalung ;ml/min ;ILA Novalung ;ml/min ; ;
Signes vitaux ; Pression intra-abdominale ; Pression intra-abdominale_1 ; Pression intra-abdominale ; Pression intra-abdominale ; ;
Valeurs vitales ;MIRUS (Sevorane Vol%)_alt ;Sevo Vol% ;MIRUS (Sevorane Vol%)_alt ;Sevo Vol% ; ;
Valeurs vitales ;MIRUS (MAC) ;MAC ;MIRUS (MAC) ;MAC ; ;
Dispositions ;Glucose sanguin ;GS ;Glucose sanguin ;GS ; ;
Dispositions ; Glycémie ; Glycémie ; BG ; BG ; déterminé à la station ; déterminé à la station
Dispositions ; Glycémie ; Glycémie ; BZ ; BZ ; déterminé en laboratoire ; déterminé en laboratoire
Dispositions ; Laboratoire à domicile ; Analyse des gaz sanguins ; AGS ; Analyse des gaz sanguins ; ;
Dispositions ; Laboratoire de maison ; BGA ; Analyse de gaz du sang ; Analyse de gaz du sang ; Z (Veine centrale),profil large) ;Z (Veine centrale),grand profil)
Dispositions ; Laboratoire de maison ; BGA ; Analyse de gaz sanguins ; Analyse de gaz sanguins ; ZB (Veine centrale),Beatmung) ;ZB (Veine centrale),Ventilation)
Dispositions ; Laboratoire à domicile ; BGA ; Analyse des gaz du sang ; Analyse des gaz du sang ; ZB+ (Veine centrale),Beatmung plus) ; ZB+ (Veine centrale),Ventilation plus)
Dispositions ; Laboratoire à domicile ; BGA ; Analyse des gaz du sang ; Analyse des gaz du sang ; A (Artériel),grand profil) ;A (Artériel,grand profil)
Dispositions; Laboratoire à domicile; BGA; Analyse des gaz du sang; Analyse des gaz du sang; AB (Artériel),Ventilation) ;AB (Artériel,Ventilation)
Dispositions ; Laboratoire domestique ; BGA ; Analyse de gaz du sang ; Analyse de gaz du sang ; AB+ (Artériel,Beatmung plus) ; AB+ (Artériel,Ventilation plus)
Dispositions ; Laboratoire à domicile ; BGA ; Analyse des gaz du sang ; Analyse des gaz du sang ; V (Veines),grand profil) ;V (Vénus),grand profil
Dispositions ;Laboratoire à domicile ;BGA ;Analyse de gaz sanguins ;Analyse de gaz sanguins ;VB (Veineuse),Beatmung) ;VB (Vén�s,Ventilation
Dispositions ;Laboratoire à domicile ;BGA ;Analyse des gaz du sang ;Analyse des gaz du sang ;VB+ (Veineux,Beatmung plus) ;VB+ (Veines,Ventilation plus)
Dispositions ; Laboratoire à domicile ;BGA ; Analyse de gaz du sang ; Analyse de gaz du sang ; K (Capillaire,profil de grande taille) ;K (Kapillär,grand profil)
Dispositions ; Laboratoire à domicile ; BGA ; Analyse des gaz du sang ; Analyse des gaz du sang ; KB (Capillaire,Translation: Ventilation) ;KB (Capillaire,Ventilation)
Dispositions ;Laboratoire à domicile ;BGA ;Analyse des gaz du sang ;Analyse des gaz du sang ;KB+ (Capillaire,Beatmung plus) ;KB+ (Capillaire,Beatmung plus)
Dispositions ; Laboratoire à domicile ; BGA ; Analyse des gaz du sang ; Analyse des gaz du sang ; Z/A Veine centrale + Artériel ; Z/A Veine centrale + Artériel
Dispositions ; Laboratoire à domicile ; BGA ; Analyse des gaz sanguins ; Analyse des gaz sanguins ; Z/K Veine centrale + Capillaire ; Z/K Veine centrale + Capillaire
Dispositions ; Laboratoire domestique ; Coagulation ; Coagulation ; Coagulation ; ;
Dispositions ; Laboratoire à domicile ; Coagulation ; Coagulation ; Coagulation ; Quick ; Quick
Dispositions ; Laboratoire maison ; Coagulation ; Coagulation ; Coagulation ; TCA ; TCA
Dispositions ; Laboratoire à domicile ; Coagulation ; Coagulation ; Coagulation ; AT3 ; AT3
Dispositions ;Laboratoire à domicile ;Coagulation ;Coagulation ;Coagulation ;Fibrinogène ;Fibrinogène
Dispositions ;Laboratoire à domicile ;Coagulation ;Coagulation ;Coagulation ;--- ;---
Dispositions ;Laboratoire à domicile ;Coagulation ;Coagulation ;Coagulation ;Miroir anti-Xa ;Miroir anti-Xa
Dispositions ; Laboratoire à domicile ; Coagulation ; Coagulation ; Coagulation ; Temps de thrombine ; Temps de thrombine
Dispositions ; Laboratoire à domicile ; Coagulation ; Coagulation ; Coagulation ; D-Dimère ; D-Dimère
Dispositions ; Laboratoire à domicile ; Coagulation ; Coagulation ; Coagulation ; ROTEM ; ROTEM
Dispositions ; Laboratoire domestique ; Coagulation ; Coagulation ; Coagulation ; Fak. XIII ; Fak. XIII
Dispositions ; Laboratoire à domicile ; Profil de laboratoire D2/B2 Grand ; D2/B2 Grand/ petit ; Profil de laboratoire ; ;
Dispositions ; Laboratoire à domicile ; D2/B2 Grand/Petit ; Profil Laboratoire D2/B2 Grand ; Profil de laboratoire ; D2/B2 Grand ; D2/B2 Grand.
Dispositions ; Laboratoire maison ; D2/B2 Grand/ petit ; Profil de laboratoire D2/B2 Grand ; Profil de laboratoire ; D2/B2 petit ; D2/B2 petit
Dispositions ; Laboratoire de maison ; D2/B2 Grand/ petit ; Profil de laboratoire D2/B2 Grand ; Profil de laboratoire ; Dialyse D2 ; Dialyse D2
Dispositions ; Laboratoire maison ; Valeurs de graisse ; Graisses ; Valeurs de graisse ; ;
Dispositions ; Laboratoire à domicile ; Graisses ; Valeurs de graisse ; Valeurs de graisse ; Triglycérides ; Triglycérides
Dispositions ; Laboratoire à domicile ; Graisses ; Valeurs de graisse ; Valeurs de graisse ; HDL ; HDL
Dispositions ; Laboratoire à domicile ; Graisses ; Valeurs de graisse ; Valeurs de graisse ; LDL ; LDL
Dispositions ; Laboratoire à domicile ; Graisses ; Valeurs lipidiques ; Valeurs lipidiques ; Cholestérol ; Cholestérol
Dispositions ; Laboratoire à domicile ; Paramètres de laboratoire individuels ; Valeurs de laboratoire spéciales chez nous ; Paramètres de laboratoire individuels (texte libre) ; ;
Dispositions ; Laboratoire à domicile ; Histogramme/Elpho/Statut-U ; Histo/Elpho/Statut-U ; Histogramme/Elpho/Urine ; ;
Dispositions ;Laboratoire de maison ;Histo/Elpho/Statut-U ;Histogramme/Elpho/Statut-U ;Histogramme/Elpho/Urines ;Histogramme ;Histogramme
Dispositions ; Laboratoire à domicile ; Histo/Elpho/U-Status ; Histogramme/Elpho/U-Status ; Histogramme/Elpho/Urines ; pour la clairance de la créatinine ; pour la clairance de la créatinine
Dispositions ; Laboratoire à domicile ; Histo/Elpho/U-Statut ; Histogramme/Elpho/U-Statut ; Histogramme/Elpho/Urines ; Électrophorèse ; Électrophorèse
Dispositions ; Laboratoire domestique ; Histo/Elpho/Statut-U ; Histogramme/Elpho/Statut-U ; Histogramme/Elpho/Urine ; pour les catécholamines dans l'urine ; pour les catécholamines dans l'urine
Dispositions ;Laboratoire à domicile ;Histo/Elpho/Statut-U ;Histogramme/Elpho/Statut-U ;Histogramme/Elpho/Urine ;Statut-U ;Statut-U
Dispositions ; Laboratoire de la maison ; Histo/Elpho/U-Status ; Histogramme/Elpho/U-Statut ; Histogramme/Elpho/Urine ;-- ;--
Consignes ; Laboratoire à domicile ; Histo/Elpho/État-U ; Histogramme/Elpho/État-U ; Histogramme/Elpho/Urines ; Urine collective 24h pour Clarté de Créatinine ; Urine collective 24h pour Clarté de Créatinine
Dispositions ; Laboratoire maison ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales chez nous à la maison ; Valeurs de laboratoire spéciales ; ;
Dispositions ; Laboratoire de maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; CRP ; CRP
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spéciales dans notre maison ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; PCT ; PCT
Dispositions ; Laboratoire interne ; Valeurs de laboratoire spécifiques dans notre maison ; Valeurs de laboratoire spécifiques ; Valeurs de laboratoire spécifiques ; Petit bilan sanguin ; Petit bilan sanguin
Dispositions ; Laboratoire interne ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; HbA1c ; HbA1c
Dispositions ;Laboratoire à domicile ;Valeurs de laboratoire spéciales chez nous ;Valeurs de laboratoire spéciales ;Valeurs de laboratoire spéciales ;--- ;---
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; Digitoxine ; Digitoxine
Dispositions ; Laboratoire maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; Digoxine ; Digoxine
Dispositions ; Laboratoire interne ; Valeurs de laboratoire spécifiques chez nous ; Valeurs de laboratoire spécifiques ; Valeurs de laboratoire spécifiques ; FT3 + FT4 ; FT3 + FT4
Dispositions ; Laboratoire maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; proBNP ; proBNP
Dispositions ;Laboratoire interne ;Valeurs spéciales de laboratoire chez nous ;Valeurs spéciales de laboratoire ;Valeurs spéciales de laboratoire ;�-HCG ;�-HCG
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; TSH après TRH ; TSH après TRH
Dispositions ; Laboratoire domestique ; Valeurs spéciales de laboratoire chez nous ; Valeurs spéciales de laboratoire ; Valeurs spéciales de laboratoire ; TSH-basal ; TSH-basal
Dispositions ;Laboratoire à domicile ;Valeurs de laboratoire spéciales chez nous ;Valeurs de laboratoire spéciales ;Valeurs de laboratoire spéciales ;T-Protéine ;T-Protéine
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; Albumine ; Albumine
Dispositions ; Laboratoire de la maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; Vitamine B12 + Acide folique ; Vitamine B12 + Acide folique
Dispositions ; Laboratoire de maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales; Valeurs de laboratoire spéciales; Fer; Fer
Dispositions ; Laboratoire interne ; Valeurs de laboratoire spécifiques chez nous ; Valeurs de laboratoire spécifiques ; Valeurs de laboratoire spécifiques ; Ferritine ; Ferritine
Dispositions ;Laboratoire domestique ;Valeurs de laboratoire spéciales chez nous ;Valeurs de laboratoire spéciales ;Valeurs de laboratoire spéciales ;Transferrine ;Transferrine
Dispositions ; Laboratoire maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; Saturation en transferrine ; Saturation en transferrine
Dispositions ; Laboratoire interne ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; Calcium total dans le sérum ; Calcium total dans le sérum
Ordres ; Laboratoire maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; Phosphate ; Phosphate
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; --- ; ---
Dispositions ; Laboratoire interne ; Valeurs de laboratoire spéciales chez nous ; Valeurs spécifiques de laboratoire ; Valeurs spécifiques de laboratoire ; CK + CK MB ; CK + CK MB
Dispositions ; Laboratoire de la maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; Troponine T ; Troponine T
Dispositions ; Laboratoire de la maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; --- ; ---
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; anti HAV ; anti HAV.
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; anti HBc ; anti HBc
Dispositions ; Laboratoire interne ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; anti HCV ; anti HCV
Dispositions ;Laboratoire maison ;Valeurs de laboratoire spéciales chez nous ;Valeurs de laboratoire spéciales ;Valeurs de laboratoire spéciales ;HBsAG ;HBsAG
Dispositions ; Laboratoire maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; HIV-1/ HIV-2 ; HIV-1/ HIV-2
Dispositions ;Laboratoire domestique ;Valeurs de laboratoire spéciales chez nous ;Valeurs de laboratoire spéciales ;Valeurs de laboratoire spéciales ;--- ;---
Dispositions ; Laboratoire de maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; AFP ; AFP
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spécifiques chez nous ; Valeurs de laboratoire spécifiques ; Valeurs de laboratoire spécifiques ; CA125 ; CA125
Dispositions ; Laboratoire domestique ; Valeurs spéciales de laboratoire chez nous ; Valeurs spéciales de laboratoire ; Valeurs spéciales de laboratoire ; CA15-3 ; CA15-3
Dispositions ; Laboratoire de maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; CA19-9 ; CA19-9
Dispositions ; Laboratoire de la maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; CEA ; CEA
Dispositions ; Laboratoire interne ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; PSA ; PSA
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; S100 ; S100
Dispositions ;Laboratoire à domicile ;Valeurs de laboratoire spéciales chez nous ;Valeurs de laboratoire spéciales ;Valeurs de laboratoire spéciales ;-- ;--
Dispositions ;Laboratoire de la maison ;Valeurs de laboratoire spécifiques chez nous ;Valeurs de laboratoire spécifiques ;Valeurs de laboratoire spécifiques ;GOT ;GOT
Dispositions ;Laboratoire domestique ;Valeurs de laboratoire spéciales chez nous ;Valeurs de laboratoire spéciales ;Valeurs de laboratoire spéciales ;GPT ;GPT
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spécifiques chez nous ; Valeurs de laboratoire spécifiques ; Valeurs de laboratoire spécifiques ; CHE ; CHE
Dispositions ; Laboratoire de la maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; yGT ; yGT
Dispositions ; Laboratoire à domicile ; Valeurs de laboratoire spécifiques dans notre maison ; Valeurs de laboratoire spécifiques ; Valeurs de laboratoire spécifiques ; AP ; AP
Dispositions ; Laboratoire interne ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; LDH ; LDH
Dispositions ;Laboratoire maison ;Valeurs de laboratoire spéciales chez nous ;Valeurs de laboratoire spéciales ;Valeurs de laboratoire spéciales ;Bilirubine totale ;Bilirubine totale
Dispositions ; Laboratoire maison ; Valeurs spéciales de laboratoire chez nous ; Valeurs spéciales de laboratoire ; Valeurs spéciales de laboratoire ; Bilirubine directe ; Bilirubine directe
Dispositions ;Laboratoire de maison ;Valeurs de laboratoire spéciales dans notre maison ;Valeurs de laboratoire spéciales ;Valeurs de laboratoire spéciales ;Lipase ;Lipase
Dispositions ; Laboratoire domestique ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; -- ; --
